,PLAYER,GROSS P/W,GROSS P/Y,CONTRACT EXP.,CLUB,AGE,POS BASIC,POS SPECIFIC,NATIONALITY
176,Frederik Rönnow,€ 23.077,€ 1.200.000,Jun 30 2025,Union Berlin,31,K,GK,Denmark
177,Pavao Pervan,€ 23.077,€ 1.200.000,Jun 30 2025,Wolfsburg,36,K,GK,Austria
178,András Schäfer,€ 23.077,€ 1.200.000,Jun 30 2025,Union Berlin,25,M,CM,Hungary
179,Milos Veljkovic,€ 23.077,€ 1.200.000,Jun 30 2025,Werder Bremen,28,D,CB,Serbia
180,Andreas Hanche-Olsen,€ 23.077,€ 1.200.000,Jun 30 2026,Mainz,27,D,CB,Norway
181,Erhan Masovic,€ 23.077,€ 1.200.000,Jun 30 2026,Bochum,25,D,CB,Serbia
182,Bernardo,€ 23.077,€ 1.200.000,Jun 30 2026,Bochum,29,D,CB,Brazil
183,Joe Scally,€ 23.077,€ 1.200.000,Jun 30 2027,Monchengladbach,21,D,RB,United States
184,Jakub Kaminski,€ 22.115,€ 1.150.000,Jun 30 2027,Wolfsburg,22,F,LW,Poland
185,Anthony Jung,€ 22.115,€ 1.150.000,Jun 30 2025,Werder Bremen,32,D,CB,Germany
186,Felix Agu,€ 22.115,€ 1.150.000,Jun 30 2027,Werder Bremen,24,D,RB,Germany
187,Justin Njinmah,€ 22.115,€ 1.150.000,Jun 30 2027,Werder Bremen,23,F,RW,Germany
188,Nicolas Cozza,€ 22.115,€ 1.150.000,Jun 30 2027,Wolfsburg,25,D,LB,France
189,Michael Gregoritsch,€ 21.923,€ 1.140.000,Jun 30 2025,Freiburg,30,F,CF,Austria
190,Silas Wamangituka,€ 21.923,€ 1.140.000,Jun 30 2026,Stuttgart,25,F,RW,Democratic Republic of the Congo
191,Amine Adli,€ 21.923,€ 1.140.000,Jun 30 2026,Bayer Leverkusen,24,F,LW,Morocco
192,Ermedin Demirovic,€ 21.923,€ 1.140.000,Jun 30 2026,Augsburg,26,F,CF,Bosnia-Herzegovina
193,Alexander Meyer,€ 21.923,€ 1.140.000,Jun 30 2026,Borussia Dortmund,33,K,GK,Germany
194,Fabian Bredlow,€ 21.731,€ 1.130.000,Jun 30 2026,Stuttgart,29,K,GK,Germany
195,Kevin Vogt,€ 21.154,€ 1.100.000,Jun 30 2025,Union Berlin,32,D,CB,Germany
196,Kevin Müller,€ 21.154,€ 1.100.000,Jun 30 2025,Heidenheim,33,K,GK,Germany
197,Fabian Rieder,€ 21.154,€ 1.100.000,Jun 30 2025,Stuttgart,22,F,AM,Switzerland
198,Senne Lynen,€ 21.154,€ 1.100.000,Jun 30 2025,Werder Bremen,25,M,DM,Belgium
199,Janik Haberer,€ 20.769,€ 1.080.000,Jun 30 2025,Union Berlin,30,M,CM,Germany
200,Moritz Nicolas,€ 20.000,€ 1.040.000,Jun 30 2029,Monchengladbach,26,K,GK,Germany
201,Nathan N'Goumou,€ 20.000,€ 1.040.000,Jun 30 2027,Monchengladbach,24,F,RW,France
202,Christian Günter,€ 19.615,€ 1.020.000,Jun 30 2025,Freiburg,31,D,LB,Germany
203,Oliver Burke,€ 19.615,€ 1.020.000,Jun 30 2025,Werder Bremen,27,F,RW,Scotland
204,Jamie Leweling,€ 19.615,€ 1.020.000,Jun 30 2028,Stuttgart,23,F,RW,Germany
205,Fiete Arp,€ 19.231,€ 1.000.000,Jun 30 2026,Holstein Kiel,24,F,CF,Germany
206,Cédric Zesiger,€ 19.231,€ 1.000.000,Jun 30 2027,Wolfsburg,26,D,CB,Switzerland
207,Maximilian Beier,€ 19.231,€ 1.000.000,Jun 30 2027,Hoffenheim,21,F,CF,Germany
208,Maximilian Mittelstädt,€ 19.231,€ 1.000.000,Jun 30 2026,Stuttgart,27,D,LB,Germany
209,Nikola Vasilj,€ 19.231,€ 1.000.000,Jun 30 2025,St Pauli,28,K,GK,Bosnia-Herzegovina
210,Felix Passlack,€ 19.231,€ 1.000.000,Jun 30 2025,Bochum,26,D,RB,Germany
211,Eric Smith,€ 18.462,€ 960.000,Jun 30 2025,St Pauli,27,D,CB,Sweden
212,Maxim Leitsch,€ 18.462,€ 960.000,Jun 30 2026,Mainz,26,D,CB,Germany
213,Maximilian Eggestein,€ 18.462,€ 960.000,Jun 30 2025,Freiburg,27,M,CM,Germany
214,Danny da Costa,€ 18.462,€ 960.000,Jun 30 2025,Mainz,30,D,RB,Germany
215,Niklas Dorsch,€ 18.269,€ 950.000,Jun 30 2026,Augsburg,26,M,DM,Germany
216,Vincenzo Grifo,€ 18.269,€ 950.000,Jun 30 2025,Freiburg,31,F,LW,Italy
217,Anthony Losilla,€ 18.077,€ 940.000,Jun 30 2025,Bochum,38,M,DM,France
218,Pascal Stenzel,€ 18.077,€ 940.000,Jun 30 2026,Stuttgart,28,D,RB,Germany
219,Josha Vagnoman,€ 18.077,€ 940.000,Jun 30 2026,Stuttgart,23,D,RB,Germany
220,Alexander Schwolow,€ 17.308,€ 900.000,Jun 30 2025,Union Berlin,32,K,GK,Germany
221,Nicolas Höfler,€ 17.308,€ 900.000,Jun 30 2025,Freiburg,34,M,DM,Germany
222,Phillipp Mwene,€ 17.308,€ 900.000,Jun 30 2026,Mainz,30,D,LB,Austria
223,Yorbe Vertessen,€ 17.308,€ 900.000,Jun 30 2028,Union Berlin,23,F,CF,Belgium
224,Kevin Paredes,€ 17.308,€ 900.000,Jun 30 2026,Wolfsburg,21,M,LM,United States
225,Christopher Trimmel,€ 17.308,€ 900.000,Jun 30 2025,Union Berlin,37,D,RB,Austria
226,Kilian Fischer,€ 16.731,€ 870.000,Jun 30 2027,Wolfsburg,23,D,RB,Germany
227,Rani Khedira,€ 16.346,€ 850.000,Jun 30 2025,Union Berlin,30,M,DM,Germany
228,Skelly Alvero,€ 16.346,€ 850.000,Jun 30 2028,Werder Bremen,22,M,CM,France
229,Rubén Vargas,€ 16.346,€ 850.000,Jun 30 2025,Augsburg,25,F,LW,Switzerland
230,Gerrit Holtmann,€ 16.346,€ 850.000,Jun 30 2025,Bochum,29,F,LW,Philippines
231,Aïssa Laïdouni,€ 16.154,€ 840.000,Jun 30 2027,Union Berlin,27,M,CM,Tunisia
232,Lennart Grill,€ 16.154,€ 840.000,Jun 30 2025,Union Berlin,25,K,GK,Germany
233,Manuel Riemann,€ 16.154,€ 840.000,Jun 30 2025,Bochum,35,K,GK,Germany
234,Hauke Wahl,€ 16.154,€ 840.000,Jun 30 2025,St Pauli,30,D,CB,Germany
235,Grischa Prömel,€ 16.154,€ 840.000,Jun 30 2026,Hoffenheim,29,M,CM,Germany
236,Ritsu Doan,€ 16.154,€ 840.000,Jun 30 2025,Freiburg,26,F,RW,Japan
237,Johannes Eggestein,€ 16.154,€ 840.000,Jun 30 2025,St Pauli,26,F,CF,Germany
238,Finn Dahmen,€ 16.154,€ 840.000,Jun 30 2026,Augsburg,26,K,GK,Germany
239,Aymen Barkok,€ 16.154,€ 840.000,Jun 30 2025,Mainz,26,F,AM,Morocco
240,Tomas Cvancara,€ 15.385,€ 800.000,Jun 30 2028,Monchengladbach,23,F,CF,Czech Republic
241,Marco Richter,€ 15.385,€ 800.000,Jun 30 2027,Mainz,26,F,AM,Germany
242,Farès Chaïbi,€ 15.385,€ 800.000,Jun 30 2028,Eintracht Frankfurt,21,F,AM,Algeria
243,Maximilian Wittek,€ 15.385,€ 800.000,Jun 30 2026,Bochum,28,D,LB,Germany
244,Mads Pedersen,€ 15.385,€ 800.000,Jun 30 2027,Augsburg,27,D,LB,Denmark
